title,addr_zip,size_sqft,bedrooms,bathrooms,prewar,price
111 Jane Street #PH6,10014,5256,4.0,3.0,1,5995000
295 West 11th Street #4D,10014,700,1.0,1.0,1,799000
380 West 12th Street #3D,10014,1050,1.0,1.0,1,1199000
224 W. 10th Street ,10014,3500,6.0,5.0,1,4000000
15 Jones Street #4F,10014,500,1.0,1.0,1,575000
295 West 11th Street #6B,10014,400,1.0,1.0,1,460000
3 Weehawken #4A,10014,526,1.0,1.0,1,495000
96 Perry Street #B10,10014,650,1.0,1.0,1,749000
720 Greenwich Street #2F,10014,950,1.0,1.0,1,1095000
22 Leroy Street #1,10014,320,1.0,1.0,1,369000
708 Greenwich Street #3F,10014,1290,1.0,1.0,1,1490000
344 West 12th Street #1E,10014,276,0.0,1.0,1,319000
791 Greenwich Street #2,10014,800,1.0,1.0,1,925000
421 Hudson Street #709,10014,912,2.0,2.0,1,1735000
527 Hudson Street #3,10014,1900,2.0,2.0,1,2200000
25 Leroy Street #17,10014,500,1.0,1.0,1,579000
61 Horatio Street #5G,10014,600,1.0,1.0,1,695000
78 Bedford Street #5B,10014,600,2.0,1.0,1,695000
130 Barrow Street #202,10014,1113,1.0,2.0,1,1290000
708 Greenwich Street #6C,10014,1200,1.0,1.0,1,1395000
111 Barrow Street #2B,10014,1200,1.0,1.0,1,1395000
111 Barrow Street #8D,10014,1200,1.0,1.0,1,1395000
36 Bedford Street ,10014,2647,,6.0,1,5500000
2 Cornelia Street #PHD,10014,1510,3.0,2.0,1,2120000
290 West 11th Street #1C,10014,450,1.0,1.0,1,525000
295 West 11th Street #6L,10014,500,1.0,1.0,1,585000
421 Hudson Street #603,10014,1140,2.0,2.0,1,1595000
104 Bedford Street #6AB,10014,1450,3.0,2.0,1,1700000
350 West 14th Street #6D,10011,693,1.0,1.0,1,850000
84 Charles Street #14,10014,550,1.0,1.0,1,645000
299 West 12th Street #1F,10014,505,1.0,1.0,1,799000
421 Hudson Street #315,10014,900,1.0,1.0,1,1060000
130 Barrow Street #406,10014,920,1.0,1.0,1,1085000
5 Charles Street #1R,10014,525,1.0,1.0,1,620000
247 West 12th Street #4B,10014,2030,3.0,2.0,1,2400000
2 Cornelia Street ,10014,773,1.0,1.0,1,915000
130 Barrow Street #311,10014,840,1.0,1.0,1,995000
838 Greenwich Street #4D,10014,775,1.0,1.0,1,919000
720 Greenwich Street #4V,10014,800,1.0,1.0,1,950000
130 Jane Street #4A,10014,800,1.0,1.0,1,950000
303 West 13th Street ,10014,2343,2.0,3.0,1,2850000
720 Greenwich Street #4C,10014,740,1.0,1.0,1,879000
720 Greenwich Street #1B,10014,500,0.0,1.0,1,595000
247 West 12th Street #1A,10014,2100,2.0,2.0,1,2500000
350 West 14th Street #7C,10011,629,1.0,1.0,1,775000
765 Greenwich Street #4,10014,1258,4.0,2.0,1,1500000
72 Horatio Street #3S,10014,1250,1.0,2.0,1,1495000
791 Greenwich Street #5,10014,960,2.0,1.0,1,1150000
41 Jane Street #4D,10014,600,1.0,1.0,1,719000
130 Barrow Street #419,10014,1031,2.0,1.0,1,1500000
99 Bank Street #5D,10014,1000,1.0,2.0,1,1200000
12 Gay Street ,10014,2310,4.0,3.0,1,4800000
130 Barrow Street #318,10014,756,1.0,1.0,1,910000
130 Barrow Street #107,10014,1100,1.5,1.0,1,1325000
136 Waverly Place ,10014,1200,2.0,1.0,1,1450000
111 Jane Street #4,10014,1650,2.0,2.0,1,1995000
211 West 10th Street #4A,10014,700,1.0,1.0,1,847000
421 Hudson Street #206,10014,1279,2.0,2.0,1,1550000
720 Greenwich Street #10BC,10014,1400,1.0,2.0,1,1699000
53 Horatio Street #2,10014,1400,2.0,2.0,1,1699000
354 West 12th Street #1B,10014,350,0.0,1.0,1,425000
223 West 10th Street #2A,10014,519,1.0,1.0,1,650000
136 Waverly Place #10C,10014,900,1.0,1.0,1,1100000
223 West 10th Street #3D,10014,408,0.0,1.0,1,499000
165 Perry Street #3D,10014,775,1.0,1.0,1,950000
28 Perry Street #4E,10014,428,1.0,1.0,1,525000
130 Barrow Street #219,10014,1031,2.0,1.0,1,1595000
79 Barrow Street #5C,10014,705,1.0,1.0,1,865000
3 Weehawken Street #1A,10014,404,0.0,1.0,1,419000
53 Horatio Street #3,10014,650,1.0,1.0,1,799000
92 Horatio Street #4I,10014,650,1.0,1.0,1,799000
720 Greenwich Street #7UV,10014,1850,3.0,2.0,1,2275000
147 Waverly Place #1E,10014,975,1.0,1.0,1,1199000
838 Greenwich Street #4F,10014,800,1.0,1.0,1,985000
118 Washington Place ,10014,3121,4.0,3.0,1,3850000
130 Barrow Street #203,10014,871,1.0,1.0,1,1075000
59 Horatio Street #HOUSE,10014,3200,2.0,2.0,1,3950000
75 Perry Street ,10014,5425,7.0,7.0,1,6700000
130 Barrow Street #304,10014,579,1.0,1.0,1,1050000
77 Perry Street ,10014,425,0.0,1.0,1,525000
9 Barrow Street #4M,10014,700,1.0,1.0,1,865000
380 West 12th Street #2G,10014,1780,2.0,2.0,1,2200000
111 Jane Street #PH6,10014,5256,4.0,3.0,1,6500000
130 Barrow Street ,10014,840,1.0,1.0,1,1189000
380 West 12th Street #5D,10014,1050,2.0,1.0,1,1300000
350 West 14th Street #7G,10014,470,0.0,1.0,1,582000
166 Bank Street #6A,10014,2200,2.0,2.0,1,2725000
350 West 14th Street #6D,10014,693,1.0,1.0,1,899000
763 Greenwich Street ,10014,3694,,,1,5995000
421 Hudson #524,10014,721,1.0,1.0,1,895000
78 Charles Street #5E,10014,600,1.0,1.0,1,745000
78 Charles Street #5E,10014,600,1.0,1.0,1,745000
822 Greenwich Street #2B,10014,720,1.0,1.0,1,895000
321 West 13th Street #4A,10014,1200,1.0,1.0,1,1495000
281 West 11th Street #2C,10014,400,0.0,1.0,1,499000
299 West 12th Street #3L,10014,400,0.0,1.0,1,499000
720 Greenwich Street #4D,10014,1000,1.0,1.0,1,1249000
166 Bank Street #3A,10014,2200,3.0,2.0,1,2749000
166 Bank Street #4B,10014,2200,2.0,2.0,1,2750000
421 Hudson Street #502,10014,725,1.0,1.0,1,875000
9 Barrow Street #7N,10014,540,0.0,1.0,1,675000
274 West 11th Street #5R,10014,500,1.0,1.0,1,625000
223 West 10th Street #4B,10014,495,1.0,1.0,1,625000
227 West 11th Street #44,10014,500,1.0,1.0,1,625000
131 Perry Street #1B,10014,1675,2.0,1.0,1,2095000
43 Clarkson Street #3B,10014,2582,3.0,2.0,1,3249000
92 Perry Street #2,10014,656,2.0,1.0,1,825000
79 Horatio Street ,10014,6010,,0.0,1,8500000
421 Hudson Street #604,10014,912,1.0,2.0,1,1150000
344 West 12th Street #5D,10014,475,1.0,1.0,1,599000
421 Hudson Street #709,10014,912,2.0,2.0,1,1895000
274 West 12th Street #5,10014,865,2.0,1.0,1,1095000
17 Cornelia Street #2C,10014,1068,2.0,1.0,1,1395000
17 Cornelia Street #2C,10014,1100,2.0,1.0,1,1395000
321 West 13th Street #4B,10014,1220,2.0,1.0,1,1550000
20 Bethune Street #4D,10014,610,1.0,1.0,1,775000
822 Greenwich Street #2B,10014,720,1.0,1.0,1,915000
421 Hudson Street #714,10014,865,1.0,1.0,1,1100000
330 West 11th Street ,10014,5500,,,1,6995000
92 Perry Street #20,10014,546,1.0,1.0,1,695000
96 Perry Street #B21B,10014,250,0.0,1.0,1,319000
421 Hudson Street #315,10014,900,1.0,1.0,1,1150000
28 Perry Street #2E,10014,450,1.0,1.0,1,575000
421 Hudson Street Apt 718 #718,10014,898,1.0,1.0,1,1150000
92 Perry Street #16,10014,546,1.0,1.0,1,699500
136 Waverly Place #4E,10014,800,1.0,1.0,1,1025000
49 Downing Street #2C,10014,620,0.0,1.0,1,795000
166 Bank Street #3A,10014,2200,3.0,2.0,1,2825000
52 Morton Street #GRDN,10014,2100,3.0,2.0,1,2700000
41 Seventh Avenue South #2,10014,1162,2.0,2.0,1,1495000
111 Barrow Street #2C,10014,1550,2.0,2.0,1,1995000
421 Hudson Street #407,10014,912,1.0,1.0,1,1175000
22 Grove Street #6EF,10014,775,1.0,2.0,1,999000
111 Barrow Street #5C,10014,1550,2.0,2.0,1,2000000
59 Barrow Street #1ABC,10014,1932,1.0,0.0,1,2500000
92 Perry Street #10,10014,656,2.0,1.0,1,849000
